Date,Tournament,Surface,Rd,Rk,vRk,,Score,DR,A%,DF%,1stIn,1st%,2nd%,BPSvd,Time,Minutes
31‑Jul‑2023,Washington,Hard,R16,9,44,(1)Fritz d. (15)Andy Murray [GBR],6-7(2) 6-3 6-4,1.07,13.50%,3.20%,66.70%,77.40%,42.90%,8/9,3:02:00,
31‑Jul‑2023,Washington,Hard,R32,9,233,(1)Fritz d. (Q)Zachary Svajda [USA],6-3 6-3,1.46,14.00%,5.30%,59.60%,85.30%,47.80%,8/8,1:13:00,
7‑Aug‑2023,Canada Masters,Hard,R16,9,18,Alex De Minaur [AUS] d. (8)Fritz,7-6(7) 4-6 6-1,0.85,13.20%,0.90%,59.40%,66.70%,46.50%,4/8,2:26:00,
7‑Aug‑2023,Canada Masters,Hard,R32,9,34,(8)Fritz d. Ugo Humbert [FRA],7-6(7) 3-6 6-3,0.92,9.30%,8.30%,55.60%,76.70%,47.90%,8/11,2:28:00,
14‑Aug‑2023,Cincinnati Masters,Hard,QF,9,2,(2)Novak Djokovic [SRB] d. (9)Fritz,6-0 6-4,0.48,2.30%,9.10%,50.00%,68.20%,27.30%,0/5,1:01:00,
14‑Aug‑2023,Cincinnati Masters,Hard,R32,9,39,(9)Fritz d. Lorenzo Sonego [ITA],6-4 7-6(1),1.27,6.00%,7.50%,49.30%,78.80%,52.90%,1/3,1:42:00,
14‑Aug‑2023,Cincinnati Masters,Hard,R64,9,35,(9)Fritz d. Jiri Lehecka [CZE],7-6(14) 6-2,1.42,7.70%,7.70%,47.40%,75.70%,58.50%,3/4,1:45:00,
2‑Oct‑2023,Shanghai Masters,Hard,R32,8,130,(WC)Diego Schwartzman [ARG] d. (7)Fritz,6-4 3-6 7-6(5),0.95,15.90%,1.90%,61.70%,74.20%,46.30%,6/9,2:44:00,
2‑Oct‑2023,Shanghai Masters,Hard,R64,8,79,(7)Fritz d. Yosuke Watanuki [JPN],7-6(2) 6-7(6) 6-4,1.09,13.90%,3.70%,61.10%,75.80%,59.50%,4/6,2:33:00,
16‑Oct‑2023,Tokyo,Hard,R16,10,215,(WC)Shintaro Mochizuki [JPN] d. (1)Fritz,0-6 6-4 7-6(2),1.05,11.30%,5.00%,56.30%,68.90%,60.00%,3/5,2:01:00,
16‑Oct‑2023,Tokyo,Hard,R32,10,18,(1)Fritz d. Cameron Norrie [GBR],6-4 6-3,1.91,24.50%,1.90%,64.20%,79.40%,68.40%,2/3,1:20:00,
23‑Oct‑2023,Basel,Hard,R16,9,83,(Q)Alexander Shevchenko [KAZ] d. (3)Fritz,6-7(7) 7-6(6) 7-6(5),1.4,18.60%,1.70%,61.90%,91.80%,53.30%,3/3,2:53:00,
23‑Oct‑2023,Basel,Hard,R32,9,41,(3)Fritz d. Max Purcell [AUS],7-6(7) 7-6(4),1.18,13.80%,1.10%,66.70%,70.70%,58.60%,3/5,1:59:00,
30‑Oct‑2023,Paris Masters,Hard,R64,10,29,(9)Fritz d. Sebastian Baez [ARG],6-1 6-4,1.62,13.80%,1.70%,60.30%,80.00%,56.50%,1/1,1:11:00,
1‑Jan‑2024,United Cup,Hard,RR,10,18,Fritz d. Cameron Norrie [GBR],7-6(5) 6-4,1.12,20.60%,0.00%,63.20%,76.70%,60.00%,1/2,1:45:00,
1‑Jan‑2024,United Cup,Hard,RR,10,12,Alex De Minaur [AUS] d. Fritz,6-4 6-2,0.73,16.90%,1.70%,61.00%,72.20%,39.10%,4/7,1:29:00,
